	up	down	right	left	explore
4,9	-0.1	0	0	-0.1	0
5,0	1.19163528668328	-2.4802476482787	-1.03779957580202	-0.691905332080242	-1.46818403157016
5,1	-1.26756427160047	-2.49650925625703	-2.15679231310421	-0.381680443818928	-1.58794977505361
5,2	4.67196614844899	-0.686281470374109	-0.186253986473371	-0.342672286768779	4.75988616961596
5,3	-0.1	-0.1	2.30165090340805	-0.483105228324371	-0.289436515722359
5,4	13.135349801932	-0.124911208561626	0.678988876225988	-0.132557675946453	-0.34905016
5,5	0	0	0	0	0
5,6	0	-0.1	0	0	0
5,7	0	0	0	0	0
5,8	-0.1	-0.1	0	-0.1	0
5,9	0	0	0	0	0
6,0	-0.179100072235838	-0.196	-0.6	-0.196	-0.4
6,1	-0.423022414450776	-0.3766336	-0.359844623146733	-0.6	-0.43417800884499
6,2	-1.24474237665602	-1.24594126291305	-1.25103298080047	-1.632	-1.80791396130003
6,3	0	0	0	0	0
6,4	1.29242531968826	-0.6	-0.15715639312	-0.1	-0.495410230339667
6,5	-0.461568256	-0.45870171136	-0.43639	-0.4734510783328	-0.784
6,6	-0.6	-0.3607	-0.3766336	-0.3909924992896	-0.406
6,7	0	0	0	0	0
6,8	0	0	0	0	-0.4
6,9	0	0	0	0	0
7,0	-1.6374	-0.930747312500062	-0.967278835095357	-1.01954299590469	-1.027792
7,1	0	0	0	0	0
7,2	-1.0571502876746	-1.12399953652036	-1.1080251381239	-1.08721485874296	-1.5120861949466
7,3	-1.08549104411856	-1.09166645064644	-2.0809056	-1.06395653604547	-1.48839200876657
7,4	-0.267761204364873	-0.321819865294336	-0.373602475583291	-0.373222258373891	-0.4
7,5	0	0	0	0	0
7,6	-0.21202	-0.19	-0.283084	-0.196	-0.7772896
7,7	0	0	0	0	0
7,8	0	0	0	0	0
7,9	0	0	0	0	0
8,0	-0.922640834977981	-0.859353980072335	-0.90246676820351	-0.904401673620398	-1.107036272224
8,1	-0.904401673620398	-0.909455597674384	-0.910830023456299	-0.948094301488049	-1.41415588
8,2	-0.993721329916974	-0.953151399823289	-0.97733872016677	-0.94652575131832	-1.1436820743241
8,3	-0.976442449987083	-0.9596234123198	-0.918214990075622	-0.920215812997014	-1.41263507255936
8,4	-2.48676247558329	-0.803569000419174	-0.768665010438799	-0.803299053439783	-1.15865564155979
8,5	0	0	0	0	0
8,6	-0.106	0	0	0	-0.4
8,7	0	0	0	0	0
8,8	0	0	0	0	0
8,9	0	0	0	0	0
9,0	-0.797841334301966	-0.768665010438799	-0.826887383321413	-0.76306408383173	-1.1321469715456
9,1	-0.801884098708836	-0.833590072547345	-0.830424924292166	-0.81769725409829	-1.16192755364648
9,2	-0.822802210907929	-0.821518068811537	-0.820473035828709	-0.837418106735708	-1.49148837556811
9,3	-0.814115829325271	-0.75181438153888	-0.760189925823078	-0.840442192710466	-1.12585414123936
9,4	-0.693490574183465	-0.696526052540416	-0.696526052540416	-0.705107589950695	-1.47698934946795
9,5	0	0	0	0	0
9,6	0	0	0	0	0
9,7	0	0	0	0	0
9,8	0	0	0	0	0
9,9	0	0	0	0	0
